nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Ramirez,Casey,73,161.1,67.3,H,non,master,Occitanie,non,oui,857,célibataire,,0.11,2024-09-28,615.0,1377.97,13157.101646368172
Hill,Phillip,44,168.2,74.9,H,non,bac,Île-de-France,non,oui,5245,célibataire,2.0,0.79,2023-06-26,,10000.0,32408.309271881208
Hernandez,Martin,71,160.3,45.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3792,célibataire,0.0,0.13,2023-06-13,,5000.0,17975.461375021725
Miller,Michael,62,161.9,87.7,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3291,divorcé,,0.32,2024-01-12,,10000.0,16004.737730594867
Walker,Matthew,18,178.0,77.6,F,oui,bac,Corse,non,oui,3893,célibataire,,0.66,2023-02-16,,,10437.682759868925
Haney,Jacob,65,179.5,61.5,F,non,bac,Occitanie,non,non,2577,veuf,,0.58,2023-04-03,,5000.0,500.0
Alexander,Christopher,22,170.8,60.9,F,non,master,Bretagne,oui,oui,714,célibataire,0.0,0.46,2023-03-01,772.0,699.57,500.0
Walsh,Nicole,54,170.0,61.3,H,oui,aucun,Île-de-France,oui,oui,2629,marié,,0.22,2023-06-14,,10000.0,500.0
Flores,Mark,61,175.2,58.5,H,oui,doctorat,Corse,oui,oui,1572,divorcé,,0.85,2024-11-15,356.0,5000.0,4494.300952230585
Fernandez,Justin,28,161.6,81.2,F,oui,master,Hauts-de-France,oui,oui,500,célibataire,2.0,0.66,2021-12-28,356.0,10000.0,500.0
Liu,Michael,28,181.8,81.1,F,non,master,Bretagne,non,oui,2847,marié,,0.37,2020-03-14,611.0,518.38,22788.001263240207
Young,Lisa,24,169.1,68.1,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3440,marié,2.0,0.14,2022-09-17,633.0,,18070.091787237645
Smith,Jose,42,170.2,53.4,F,oui,bac+2,Bretagne,oui,oui,4508,célibataire,,0.33,2021-02-14,,831.36,8464.616164954017
Wilson,Dennis,53,158.2,84.3,F,oui,doctorat,Hauts-de-France,oui,oui,885,,3.0,0.48,2020-11-05,375.0,5000.0,12373.56023523041
Taylor,Jeffery,57,158.9,57.3,H,oui,master,Île-de-France,oui,oui,3114,célibataire,4.0,0.5,2022-05-19,646.0,10000.0,20050.690685912497
Warren,Alexander,22,155.5,85.0,H,oui,master,Occitanie,non,oui,1501,marié,,0.1,2021-07-08,,10000.0,16303.54507463377
